"C57BL6_0dpi_rep1","C57BL6_0dpi_rep2","C57BL6_1stInf_5dpi_rep1","C57BL6_1stInf_5dpi_rep2","C57BL6_2ndInf_5dpi_rep1","NMRI_1stInf_3dpi_rep1","NMRI_1stInf_3dpi_rep2","NMRI_1stInf_5dpi_rep1","NMRI_1stInf_5dpi_rep2","NMRI_1stInf_5dpi_rep3","NMRI_1stInf_7dpi_rep1","NMRI_1stInf_7dpi_rep2","NMRI_2ndInf_0dpi_rep1","NMRI_2ndInf_0dpi_rep2","NMRI_2ndInf_3dpi_rep2","NMRI_2ndInf_5dpi_rep1","NMRI_2ndInf_7dpi_rep1","NMRI_2ndInf_7dpi_rep2","Rag_0dpi_rep1","Rag_0dpi_rep2","Rag_1stInf_5dpi_rep1","Rag_1stInf_5dpi_rep2","Rag_2ndInf_5dpi_rep1"
"ENSMUSG00000024844",2925,4382,4419,1001,6305,15615,33958,12782,23397,25791,782,7571,13274,4883,10488,40656,9995,8794,3584,5290,5981,4333,7278
"ENSMUSG00000024845",13933,19695,18249,9081,17235,42936,117382,53415,59703,54930,2272,19495,59947,25956,32000,126430,23240,33976,12342,22266,16566,12826,16477
"ENSMUSG00000024846",68,132,234,124,169,463,1118,1649,474,1281,58,507,150,63,228,2280,296,286,79,310,214,211,136
"ENSMUSG00000024847",1942,2604,2320,1075,2668,6309,18197,8037,10225,13397,675,4675,8025,3695,4792,22855,4995,4580,1386,2583,2115,1560,2058
"ENSMUSG00000024851",3166,4380,6245,3370,4616,16660,51256,34568,24161,36144,1731,14375,17386,8511,12179,75660,10832,11429,3549,10477,7515,6269,6665
"ENSMUSG00000024853",8430,12411,9700,3037,15349,34886,75770,25500,49141,45417,2095,19723,40309,15222,20677,97898,21603,21258,8662,12843,12081,9403,14282
"ENSMUSG00000024854",642,818,601,258,510,1448,4045,2387,2361,2809,191,1329,2845,1392,1398,6336,1484,1466,391,862,543,484,526
"ENSMUSG00000024855",613,841,407,106,473,1637,3719,864,2778,2992,215,1699,3123,1175,1256,8583,2111,1358,278,384,360,339,723
"ENSMUSG00000024856",6647,9052,7380,2860,9841,26179,65405,30016,43310,39399,1787,12898,32453,15747,21805,99664,18659,19976,5673,12365,9394,8767,10321
"ENSMUSG00000024857",0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0
"ENSMUSG00000024858",7663,12198,11154,3995,13114,37892,104845,43339,56530,75487,3579,27463,47744,16950,23269,136125,27103,23112,6508,14367,13057,9675,16265
"ENSMUSG00000024862",2074,2340,1324,468,2067,7541,15724,4396,11223,6674,201,2508,11795,5341,6043,22014,4234,5848,1109,1809,1345,1148,1824
"ENSMUSG00000024863",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000024866",894,1382,806,440,720,1909,4860,1630,2869,2050,68,507,3114,1322,1197,5445,783,1625,585,1224,701,618,798
"ENSMUSG00000024867",2946,4470,3794,1852,2954,12592,35932,14350,18246,20771,541,5031,19361,5537,5573,34606,4570,7385,2586,4123,4134,2927,5351
"ENSMUSG00000024868",0,2,2,1,0,0,0,0,0,0,0,0,0,0,6,0,3,1,0,1,1,3,2
"ENSMUSG00000024869",1628,2231,1523,373,1933,5044,11872,3268,7169,4872,251,1863,7751,2662,4005,12029,2724,3770,1084,1719,1632,1096,2002
"ENSMUSG00000024870",5555,8071,5682,2199,6496,19398,51799,21028,31143,27365,1295,10265,27398,10848,12392,60770,10410,14845,4331,10028,7729,5993,8297
"ENSMUSG00000024871",541,655,417,66,536,1649,4162,775,2274,1301,81,484,2615,694,1729,3534,825,1212,283,470,291,313,579
"ENSMUSG00000024873",6,17,34,2,26,58,211,91,154,323,6,56,63,30,79,591,133,93,9,20,19,14,37
"ENSMUSG00000024875",2345,3252,2436,743,2699,9022,23625,9076,16130,13145,518,4064,12277,4407,4739,27521,4006,5306,1831,3687,3602,2533,3902
"ENSMUSG00000024878",399,522,409,229,456,1231,2627,1224,2912,3368,115,736,2388,473,563,4732,556,668,329,386,528,428,756
"ENSMUSG00000024883",289,428,328,80,199,547,1910,620,944,921,25,428,1052,475,416,1578,353,395,203,369,337,292,353
"ENSMUSG00000024885",722,823,1061,876,891,3341,8128,2673,4490,2863,88,437,3134,1232,1520,9582,708,2339,586,1075,539,457,498
"ENSMUSG00000024887",452,815,307,78,208,721,1753,463,1306,991,50,367,2021,416,292,2007,235,437,306,450,237,205,527
"ENSMUSG00000024889",1515,1899,1324,486,1542,4167,10641,3787,7439,5529,213,1780,6332,2475,2605,12989,2239,3184,1162,2085,1633,1145,1875
"ENSMUSG00000024891",90,205,248,16,301,852,2292,249,1235,713,42,376,753,246,505,1546,437,361,88,119,231,188,385
"ENSMUSG00000024892",3910,6256,4249,3426,2554,11020,38958,9181,12856,7394,192,2105,19395,6743,3239,18370,1516,6811,2276,4515,2914,2465,2353
"ENSMUSG00000024896",1628,2530,2281,740,2382,8918,19928,6058,14424,9700,287,3137,10161,2392,3391,21658,3248,4240,1292,2365,3026,2026,3887
"ENSMUSG00000024897",3,6,9,1,3,32,55,30,50,55,7,13,22,9,19,70,18,19,4,7,1,5,10
"ENSMUSG00000024899",117530,154503,60628,27345,35229,209665,524317,100312,464692,162201,1382,13379,580794,83866,61668,653362,38500,141311,40330,82851,44753,38441,61211
"ENSMUSG00000024900",14869,21733,7470,3512,5228,30411,64146,21356,36603,30958,1425,10999,54400,18640,11960,88023,10303,24298,8106,16979,8995,7133,10983
"ENSMUSG00000024901",81,140,67,15,34,164,460,40,215,34,0,67,159,55,104,428,89,129,20,26,24,19,32
"ENSMUSG00000024902",1244,1664,1442,251,2171,4834,10223,3079,7437,7020,222,2262,5729,1805,2622,12400,2873,2971,1024,1549,1531,1288,2141
"ENSMUSG00000024903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"ENSMUSG00000024905",4,26,21,2,38,45,101,9,25,56,0,20,48,8,39,83,25,29,21,32,7,24,44
"ENSMUSG00000024906",1345,1985,1596,365,2347,6408,19296,5494,11321,9685,420,3473,8124,3050,4914,22674,3980,4847,876,1948,1759,1576,2270
"ENSMUSG00000024907",0,0,0,0,0,0,7,3,1,3,0,4,0,0,0,6,2,0,0,2,0,0,0
"ENSMUSG00000024908",4333,7237,5690,2217,4197,23621,53674,15384,34341,30272,969,8516,29173,7295,7745,59882,8052,11207,3486,6470,6292,4719,9183
"ENSMUSG00000024909",312,312,222,100,271,839,3132,1852,1905,2073,70,977,1168,458,815,4677,587,641,124,303,310,231,225
"ENSMUSG00000024910",85,144,301,215,832,999,5305,3206,2982,16982,480,5364,1845,3491,3683,27315,7333,2987,94,182,62,58,115
"ENSMUSG00000024911",2525,3980,2914,1154,3293,7512,18787,7659,10266,9386,299,2432,9463,4131,4446,17369,3413,5946,2314,4386,2839,2668,3276
"ENSMUSG00000024912",168,244,537,165,207,372,2249,654,568,1632,119,812,393,116,165,1875,420,198,158,305,278,102,496
"ENSMUSG00000024913",3521,5851,4295,860,6055,19929,50282,12859,23911,19872,891,8745,19953,5617,9524,40954,8780,8649,3887,6659,7723,4948,9252
"ENSMUSG00000024914",15172,19980,16152,5530,28343,51593,129163,44484,70613,59606,2699,22841,60350,25383,40931,129785,33098,34745,16077,21061,20151,13714,21740
"ENSMUSG00000024921",3549,4966,2109,901,2415,10546,20535,3940,13664,10618,582,3428,24591,7494,5420,29022,4892,7303,1714,2467,1392,1468,2456
"ENSMUSG00000024922",1385,1975,1313,1091,1182,4536,12971,4399,6725,6098,200,1788,5762,1860,2021,10923,1370,2986,897,2439,1616,1196,1609
"ENSMUSG00000024924",378,849,560,172,326,1547,3828,624,1501,1531,59,409,4226,878,608,2484,624,1043,224,363,258,333,675
"ENSMUSG00000024925",2763,3939,4070,820,7009,10348,24952,6886,12138,6165,598,5077,10207,3973,8959,23182,7379,6815,3226,4327,4732,3544,5651
"ENSMUSG00000024926",1130,1652,1658,515,1766,5293,13177,4543,7609,8410,337,2905,6059,2106,2839,15026,2890,3125,1083,1859,1682,1333,2016
"ENSMUSG00000024927",1349,2113,2601,737,2554,6060,18858,6689,9989,11707,484,4890,6949,2642,3783,21117,4558,3865,1465,2846,2758,1866,3508
"ENSMUSG00000024935",68,128,189,28,140,844,886,212,380,1132,3,79,1019,132,135,1204,43,57,213,201,312,295,417
"ENSMUSG00000024936",13,6,16,9,14,17,36,21,76,41,15,56,72,17,21,151,32,33,12,10,13,8,19
"ENSMUSG00000024937",2919,4125,3901,3531,2981,8263,25227,21691,12972,19743,827,6557,11197,6593,6154,35163,4669,7409,2756,6963,5426,4795,3180
"ENSMUSG00000024939",1433,2120,942,535,1351,3710,9078,2747,5730,5084,338,2777,5812,2774,3107,13891,3205,3416,776,1587,1031,1065,1705
"ENSMUSG00000024940",504,1815,402,387,140,270,1032,131,458,211,23,137,1037,462,167,964,167,609,15,81,22,25,30
"ENSMUSG00000024941",2229,3271,2272,681,3242,6891,18767,5495,10791,9117,359,3876,10692,3856,5118,19018,4430,5125,1746,3384,2592,2193,3447
"ENSMUSG00000024942",17313,21667,10599,4815,11316,32610,89587,37488,54411,47455,1967,16493,62454,19883,18522,109741,15520,28150,9434,18267,12664,9815,11745
"ENSMUSG00000024943",681,1056,966,298,704,9367,23052,6747,7393,10914,415,4485,10152,2210,2151,22154,2596,2571,507,767,887,673,1563
"ENSMUSG00000024944",2899,3929,2304,729,2983,6706,16513,3551,10092,5377,270,2008,11779,4592,5066,16961,3551,5662,1928,2722,2054,1601,2284
"ENSMUSG00000024947",4869,5747,3547,1553,6100,17818,35803,8600,28657,15883,992,9038,22027,7445,12935,53398,10112,10736,3141,4697,5398,4820,6179
"ENSMUSG00000024948",2210,2704,2028,801,1999,6852,16511,3799,12801,17848,1439,11121,16412,6031,8066,53650,10559,7106,923,1459,1302,1237,2180
"ENSMUSG00000024949",14508,20953,20593,5758,23351,72973,186733,46937,107726,93067,4357,41344,85228,23947,38832,200277,40383,33987,13046,20208,22007,18064,31207
"ENSMUSG00000024952",1670,2513,2460,658,3183,6498,17962,11060,10292,12123,672,5546,6625,3385,4844,22935,4802,4317,2097,5741,4640,3493,4312
"ENSMUSG00000024953",23276,32075,25207,21158,23354,50437,164333,75503,80215,90558,4320,24332,95850,51348,40495,192120,27607,55658,22254,38748,24474,21626,19203
"ENSMUSG00000024955",9277,11255,8283,4036,9953,23262,65101,33550,36698,25203,1103,10167,31416,13168,15208,73233,10068,17679,7579,21281,11388,9469,12330
"ENSMUSG00000024957",13,18,11,1,6,37,103,29,46,21,0,9,81,29,20,63,11,19,5,10,4,13,11
"ENSMUSG00000024958",2177,2763,1310,853,1593,4538,13353,4935,8565,5149,214,2210,10327,3997,4898,16880,2662,4869,1099,2388,1412,1245,1344
"ENSMUSG00000024959",2913,3579,2050,952,2873,6276,14560,5059,9688,6127,338,2626,11038,5384,5718,19999,4215,6515,1904,3709,2663,2254,2525
"ENSMUSG00000024960",16735,26917,23679,6582,25955,86742,183945,94837,109530,98394,3130,28211,76642,25682,41032,203674,30565,42777,16525,32371,28695,24835,34529
"ENSMUSG00000024962",661,936,641,130,1259,1800,4423,637,3020,1631,35,585,2614,1042,1931,5017,1278,1448,455,754,639,586,1013
"ENSMUSG00000024963",1409,1813,1177,475,1147,3230,8298,2709,4970,3315,156,1220,5818,2134,2194,8802,1488,2864,870,1680,1034,858,1239
"ENSMUSG00000024965",91,144,210,115,390,708,2604,1987,1487,6348,606,3876,732,698,1312,12061,3323,1131,119,153,124,105,153
"ENSMUSG00000024966",3789,5207,5518,1512,9116,24347,52261,18188,50123,44506,2094,19485,29540,8528,15357,82546,17422,11889,3940,5745,7226,5323,8550
"ENSMUSG00000024968",48,106,79,7,88,275,582,87,218,210,26,271,291,100,182,599,265,142,26,52,65,51,95
"ENSMUSG00000024969",10208,15412,15266,7372,12634,38636,107001,55896,57153,66060,3118,23845,47871,19470,20905,122204,18094,22778,9486,23369,19781,15374,18125
"ENSMUSG00000024970",442,635,512,293,588,1482,3991,2049,2097,2124,110,968,2150,1017,1098,4738,936,1290,468,981,631,550,665
"ENSMUSG00000024972",616,1468,690,86,712,3256,7737,356,4078,1533,82,642,8994,1651,1625,3862,1103,1421,766,909,982,790,1666
"ENSMUSG00000024973",7,12,2,1,3,14,48,13,141,104,0,16,56,2,3,72,7,9,2,0,3,6,7
"ENSMUSG00000024974",2269,3906,2982,603,3592,15965,28533,6339,22222,21248,904,8097,18960,3884,5335,42167,7678,7278,2340,2883,3489,2738,6091
"ENSMUSG00000024975",2087,3127,737,342,875,5477,9196,1074,6233,5462,249,1561,18586,3909,2879,15023,2797,3976,1705,2095,741,945,1543
"ENSMUSG00000024976",1807,2537,2383,1286,1269,9061,21293,8953,13128,17614,474,4250,12335,3064,3046,26523,2870,4449,1639,2798,2537,1956,3046
"ENSMUSG00000024978",2321,4026,563,88,396,1994,4602,530,2853,1459,78,544,6153,1187,742,3910,757,2142,203,402,485,365,770
"ENSMUSG00000024979",0,5,2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"ENSMUSG00000024981",4618,8217,9518,3957,10150,34355,75168,22563,46802,53356,2117,18391,28502,8538,13337,81647,15036,15661,5183,8688,10830,7618,13625
"ENSMUSG00000024982",1122,1776,1419,357,1555,6658,12392,3267,9894,9647,235,2333,8259,2047,2758,16701,2800,2953,1151,1335,1599,1258,2581
"ENSMUSG00000024983",982,1517,1013,302,1087,4029,8347,2610,5692,5173,167,1625,5044,1664,1834,9917,1787,2393,736,1417,1169,952,1493
"ENSMUSG00000024985",4531,7109,9926,7033,4572,26511,83179,50977,37796,55535,1229,11339,27843,7998,8547,85146,6008,9533,4784,13909,8616,8596,9834
"ENSMUSG00000024986",16,25,40,14,25,187,506,321,306,904,25,331,172,55,107,1236,261,179,9,18,21,17,53
"ENSMUSG00000024987",0,0,0,0,3,4,6,5,0,12,0,3,1,0,1,18,7,2,0,0,0,0,0
"ENSMUSG00000024989",394,485,899,133,1004,4988,8537,2690,6397,9624,450,4117,4064,818,2219,13728,3153,1919,714,696,1263,943,1882
"ENSMUSG00000024990",45,73,86,13,180,492,975,187,637,367,17,58,876,187,288,691,151,145,52,57,87,39,160
"ENSMUSG00000024991",8506,12913,13038,2164,16841,55810,112746,24767,88614,79174,3106,26559,57112,13653,23120,143715,27620,25213,9175,10919,15701,11927,23910
"ENSMUSG00000024992",0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,4,0,0,0,1,0,0,1
"ENSMUSG00000024993",1024,1414,1156,667,800,5405,10722,4972,7970,9190,226,1930,8069,1904,2014,14745,1614,2638,1128,1346,1322,1244,1896
"ENSMUSG00000024997",3830,5586,4159,912,4323,15351,35017,10741,27034,25008,666,6400,24930,5320,6515,43997,6568,8676,2653,4171,4858,3389,7223
"ENSMUSG00000024998",3705,5747,6083,1471,3660,18704,45469,17493,29686,27003,428,3636,20886,5673,6765,39969,4020,8178,3861,8045,7583,6140,9276
"ENSMUSG00000024999",427,642,860,124,954,3763,7791,1787,6264,6820,179,1768,3619,726,1345,8758,1544,1340,401,561,916,720,1672
"ENSMUSG00000025001",697,1731,2103,327,2342,14731,24663,3542,16728,18774,599,6279,9286,1422,3546,29058,5017,3616,1480,1249,2485,1952,5710
"ENSMUSG00000025002",147831,249114,103856,111907,23454,78644,409430,16589,121506,63027,207,717,561987,118260,29978,182016,11562,179928,39059,58459,15843,21241,21033
"ENSMUSG00000025003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025004",8,4,0,0,0,21,11,0,27,12,0,0,48,5,2,10,0,6,0,0,0,0,3
"ENSMUSG00000025006",262,634,506,516,163,1487,4453,2852,1393,2618,114,869,1847,922,512,4076,589,1161,268,1102,533,642,455
"ENSMUSG00000025007",2795,4644,4041,486,6096,17809,37797,7083,22781,18480,704,6807,16595,4037,7766,35200,7766,5913,3084,3902,6482,4403,10024
"ENSMUSG00000025008",178,323,215,30,166,1023,1676,716,1296,1469,55,497,1208,356,594,3081,382,506,105,223,204,194,367
"ENSMUSG00000025010",253,501,448,179,286,1189,3549,629,1756,1335,65,560,1809,701,539,2450,466,669,152,277,230,309,545
"ENSMUSG00000025013",0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000025014",0,0,1,0,2,5,4,5,9,9,0,2,2,3,5,38,20,13,1,0,0,0,0
"ENSMUSG00000025016",9545,16181,10135,3224,8417,52712,114151,33965,82986,82329,2656,21559,88860,14664,14614,138828,16342,21122,7690,12439,13288,9405,23270
"ENSMUSG00000025017",147,275,390,103,125,279,927,595,497,2339,235,1285,158,285,252,4169,1089,479,47,113,52,50,72
"ENSMUSG00000025019",737,929,645,247,182,5544,9348,2147,6565,5055,238,1414,6198,948,814,11520,743,1573,268,1040,691,565,1037
"ENSMUSG00000025020",2,15,25,3,31,46,233,6,34,14,4,6,77,24,42,86,34,18,9,4,19,17,15
"ENSMUSG00000025024",751,1237,1271,455,1175,5461,12105,4800,8897,11851,398,3769,6486,1586,2106,17042,2532,2416,702,1305,1413,1142,2127
"ENSMUSG00000025025",3072,5149,5172,4189,2825,13883,44162,22285,20207,27582,392,3724,12944,4620,6122,46613,4048,8037,2292,5926,4078,3842,4446
"ENSMUSG00000025026",4342,6470,3139,813,3027,21500,35096,5996,25189,17591,452,4680,24974,5275,6732,50637,5285,9114,2352,3665,3989,2902,5326
"ENSMUSG00000025027",6086,8319,7116,2442,8244,33987,74620,30282,46723,49521,1308,12650,36635,11478,15511,91789,14134,17399,5883,11578,11184,8196,11557
"ENSMUSG00000025034",1026,1556,942,307,1297,2539,7576,2588,3701,3484,266,2452,3755,1579,2112,9207,2189,2239,653,1437,1045,762,1358
"ENSMUSG00000025035",368,437,397,311,383,594,1885,451,1193,872,42,316,1315,399,443,2162,484,424,203,197,155,118,200
"ENSMUSG00000025036",632,835,586,76,509,1070,2338,301,1422,727,41,348,1781,344,443,1650,404,492,365,429,440,388,817
"ENSMUSG00000025037",68707,104597,51585,28958,33677,151646,450217,72900,303567,142987,1694,12872,399494,88254,58670,434594,34860,167602,35839,69706,35022,31465,46597
"ENSMUSG00000025038",0,1,0,1,3,2,0,5,27,23,3,0,6,6,3,41,4,0,0,3,1,1,0
"ENSMUSG00000025040",723,1050,692,219,583,3362,5895,2025,4276,5143,194,1432,4604,1208,1247,8356,1475,1749,389,783,596,608,1003
"ENSMUSG00000025041",1634,2816,1775,1101,1555,5808,13792,3876,6371,7532,350,3088,10218,3306,2817,14157,2991,3581,1491,2365,2123,1720,2519
"ENSMUSG00000025043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025044",2,2,13,6,9,71,150,164,35,931,96,310,92,39,30,464,191,28,1,4,8,4,8
"ENSMUSG00000025047",1257,2130,2781,304,3475,10516,22808,3941,15029,11623,499,4565,8068,2081,4780,22520,4916,3918,1404,1871,3211,2345,4906
"ENSMUSG00000025049",174,284,305,74,321,1349,2721,735,1834,2140,73,677,1341,258,472,3320,668,524,193,300,394,282,593
"ENSMUSG00000025050",311,398,364,108,389,1911,3986,678,2879,2749,110,919,2412,559,843,4669,871,878,303,348,458,364,879
"ENSMUSG00000025051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025056",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025058",0,3,71,5,8,18,70,76,34,192,41,135,23,13,17,409,59,16,0,0,6,3,8
"ENSMUSG00000025059",666,1075,3177,1166,1073,5741,18823,23363,9963,27279,1447,6960,5175,1359,1892,18225,2038,2000,909,2329,3878,2832,3435
"ENSMUSG00000025060",7012,11124,7289,2245,5198,31249,67031,21763,44406,48160,1854,14239,57406,11458,12634,83568,13851,19814,4117,6803,6597,5288,11496
"ENSMUSG00000025064",7,13,25,8,22,112,422,94,551,195,13,63,69,88,197,560,244,201,7,25,31,14,26
"ENSMUSG00000025066",899,1258,952,503,1162,4424,7680,2551,5592,7242,297,2448,5006,1718,2360,11401,2546,2498,967,1231,1336,973,1705
"ENSMUSG00000025068",16149,22199,14397,6798,17786,42412,99282,42725,57109,52625,1894,17750,61910,27085,25893,110695,21274,31706,19665,25995,20142,18452,23329
"ENSMUSG00000025069",47,59,39,18,25,82,234,61,107,56,2,41,205,54,38,300,31,73,3,20,13,8,28
"ENSMUSG00000025075",5,3,1,1,6,45,19,12,6,81,0,5,27,20,17,97,6,11,6,13,6,11,8
"ENSMUSG00000025076",3607,4832,7241,4267,5713,24729,57652,30256,35253,40500,796,6975,18157,7999,10086,64107,6390,11741,4325,8764,8718,6851,7893
"ENSMUSG00000025077",952,1520,1114,250,866,4697,9925,2399,6352,4905,226,1809,5837,1369,1999,10601,1974,2321,682,1038,947,861,1731
"ENSMUSG00000025078",1575,2764,2258,995,1341,7210,18633,7560,9503,10676,379,3049,8660,2637,2688,16944,2598,4041,1018,2602,2039,1596,2569
"ENSMUSG00000025081",327,555,243,97,131,430,852,371,1020,662,8,95,945,212,145,939,145,164,184,172,237,147,364
"ENSMUSG00000025082",20,99,57,2,34,131,397,91,121,94,2,15,378,105,95,142,38,107,37,74,52,66,81
"ENSMUSG00000025083",78,130,25,17,15,5,24,4,12,20,0,8,27,16,10,19,7,7,40,36,9,20,14
"ENSMUSG00000025085",18684,31174,17013,11455,9278,28936,82925,35309,43684,76337,4597,36891,62107,32791,19404,172328,32109,34910,15371,36471,18237,19031,21518
"ENSMUSG00000025086",504,899,637,73,775,2359,5629,685,3373,2460,78,775,3131,750,1185,4450,1096,1195,378,546,617,566,1146
"ENSMUSG00000025089",13,17,20,4,7,9,60,0,10,24,0,10,29,6,11,14,4,13,0,0,3,0,5
"ENSMUSG00000025090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025091",3,30,20,5,10,179,532,85,20,66,10,95,4988,28,5,227,15,29,9,13,15,10,20
"ENSMUSG00000025092",9,23,1595,1354,611,4759,10969,11835,5257,12840,238,1810,373,281,1538,15729,762,2423,105,648,1406,901,1212
"ENSMUSG00000025094",25,39,54,10,24,315,1135,1033,401,1011,116,789,401,69,90,969,117,96,24,26,26,21,52
"ENSMUSG00000025102",833,1198,723,208,1124,2622,5777,2056,3792,4147,118,1084,4201,1379,1565,7076,1396,1982,660,1002,832,679,1157
"ENSMUSG00000025103",2756,3836,2124,959,2135,10474,21580,5523,17853,13497,431,3442,19879,4404,4251,28913,3881,6672,1634,2688,2342,1831,3622
"ENSMUSG00000025104",8,10,17,10,29,48,201,173,172,1172,28,204,99,95,108,1256,198,65,8,4,3,10,4
"ENSMUSG00000025105",1,1,0,1,0,0,6,0,5,5,2,4,2,4,2,7,1,1,0,0,2,1,0
"ENSMUSG00000025127",1,9,0,0,0,2,23,0,0,0,0,2,9,3,3,13,8,14,0,0,0,0,2
"ENSMUSG00000025128",0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,4,0,0,1,0,1,0,0
"ENSMUSG00000025129",2,1,2,0,3,7,11,8,4,7,0,2,4,2,2,8,3,10,2,3,2,2,3
"ENSMUSG00000025130",34869,54185,37175,19109,41656,144550,340209,144251,217427,205786,8230,64813,214307,65537,80313,418083,65693,88228,35993,70069,58273,48545,64408
"ENSMUSG00000025132",26506,40720,36790,14517,39325,97067,263817,122306,146837,174450,6405,55382,107210,47248,61256,302619,59200,60813,24684,53709,44746,34451,43316
"ENSMUSG00000025133",2248,3969,2947,591,3255,11791,26039,7459,17195,15599,885,6770,15843,4360,5540,30374,6454,6705,2014,2982,3187,2589,4936
"ENSMUSG00000025134",1769,3024,3901,658,6887,17760,40885,11796,24022,29966,1100,9815,12566,3672,8033,39164,8553,7357,3008,4225,4979,3510,7389
"ENSMUSG00000025135",2544,3624,2666,758,4117,9119,23471,7549,13999,10895,634,4678,12665,4037,6123,27602,5784,5928,1927,2711,3106,2152,3827
"ENSMUSG00000025137",12732,16167,13603,6145,15000,39155,101620,32680,60721,37567,1944,16533,51666,19992,27834,111182,18423,24968,10471,18434,13132,14025,14354
"ENSMUSG00000025138",9819,12760,9556,6350,11514,26572,70009,31789,39765,33456,1863,14178,38756,17355,22805,87937,17809,22893,8021,16041,9611,9454,10781
"ENSMUSG00000025139",1922,3119,2024,1151,1718,8360,21534,7642,12223,12925,617,4357,11034,3454,3449,23379,3523,4691,1390,2970,2780,2019,3256
"ENSMUSG00000025140",126,253,194,22,345,1010,2513,437,1254,843,65,479,1835,447,619,1722,505,497,216,210,281,138,447
"ENSMUSG00000025141",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
"ENSMUSG00000025142",8289,12124,8929,2414,11905,24406,60448,19926,34664,24779,1154,9712,31233,13118,17076,64686,13427,19869,6502,13622,8754,7717,10960
"ENSMUSG00000025144",3320,4413,3467,735,5053,10828,25113,7995,15566,11846,516,5117,15142,6275,8684,25849,6886,9166,2781,5395,5058,3591,5414
"ENSMUSG00000025145",3607,4569,3185,887,4927,12151,26697,5884,16680,9335,531,4519,18130,5507,10383,29072,6103,7883,2556,4469,3086,3636,4430
"ENSMUSG00000025147",829,1170,877,348,1369,3614,7428,2915,4829,5630,303,2190,4940,1928,2209,10126,2292,2477,889,1693,1176,1040,1661
"ENSMUSG00000025150",2072,1950,876,538,987,1410,3738,1472,2416,1024,448,2277,3932,1703,1219,5013,949,1729,2159,3830,1574,1974,1770
"ENSMUSG00000025151",2517,4453,2405,558,4328,11531,29232,2888,16573,7320,538,5077,26715,7284,8531,23524,7441,8163,1816,2340,2578,1986,4610
"ENSMUSG00000025153",24702,32550,15566,3230,21075,70881,179569,33774,123782,55312,4720,46201,97605,27425,42451,205175,34206,37792,15995,33380,25563,25150,30154
"ENSMUSG00000025154",718,1186,1316,194,1391,6877,11427,3215,8342,9644,289,3415,5323,978,2585,15177,2638,2856,761,1029,1653,1244,2735
"ENSMUSG00000025155",4083,6167,5645,976,9274,21462,46702,12700,28626,24368,889,8666,21602,6675,12165,45248,10719,11065,4141,6748,7205,5746,9566
"ENSMUSG00000025156",5401,8161,6775,1396,10002,28286,66796,16963,41692,33574,1560,14309,33271,9161,13667,64062,14261,14448,5197,7664,8564,6432,11490
"ENSMUSG00000025157",869,1362,1007,224,1146,3902,8897,2698,5795,5172,212,1774,5016,1485,1929,10030,1764,2545,731,1123,1180,906,1590
"ENSMUSG00000025158",2020,2946,2022,549,2418,6552,17990,5165,10740,6154,342,3317,8589,2797,4880,18813,3784,4088,1688,3177,2429,2437,2813
"ENSMUSG00000025159",3860,6004,4484,1217,4787,19855,46260,11483,26362,21824,1191,8089,26279,7496,10392,54072,12005,10932,2641,4999,4208,3961,7251
"ENSMUSG00000025161",77,277,846,598,537,2810,9712,17372,1675,11219,1411,5724,719,1003,2273,14324,1908,1756,1444,6658,4953,5542,2328
"ENSMUSG00000025162",6689,10099,7218,3618,7032,26962,63455,21207,34197,38881,1754,13296,34460,12667,13433,74460,14000,15910,5377,10914,9459,7127,10756
"ENSMUSG00000025163",83,167,190,208,552,1337,7268,4542,4826,32959,684,7334,1974,6888,6300,59796,15161,7982,223,746,161,81,271
"ENSMUSG00000025165",1007,1662,4090,3403,2565,12512,40880,21961,15948,20082,92,1334,7724,2169,4002,31695,1763,6017,662,1524,3340,1191,3046
"ENSMUSG00000025169",551,913,506,165,621,1896,4544,921,2743,1886,60,431,2710,858,1002,4382,692,1387,430,654,440,343,589
"ENSMUSG00000025170",2,11,3,0,0,0,51,5,40,2,0,8,67,20,9,75,10,24,6,4,11,5,19
