"gene_group" "Ontology" "GO.ID" "Term" "Annotated" "Significant" "Expected" "p.value" "adj.p"
"Ef_cluster_1" "BP" "GO:0006352" "DNA-templated transcription, initiation" 10 4 0.81 0.0058 0.1121
"gene_group" "Ontology" "GO.ID" "Term" "Annotated" "Significant" "Expected" "p.value" "adj.p"
"Ef_cluster_5" "MF" "GO:0016538" "cyclin-dependent protein serine/threonin..." 4 4 0.59 0.00046 0.046
"Ef_cluster_5" "MF" "GO:0004672" "protein kinase activity" 126 31 18.53 0.00181 0.0558
"Ef_cluster_5" "MF" "GO:0003684" "damaged DNA binding" 8 5 1.18 0.00256 0.0558
"Ef_cluster_5" "MF" "GO:0032553" "ribonucleotide binding" 554 100 81.46 0.0081 0.0558
"Ef_cluster_5" "MF" "GO:0046914" "transition metal ion binding" 224 46 32.94 0.00824 0.0558
"Ef_cluster_5" "MF" "GO:0005524" "ATP binding" 468 86 68.81 0.00906 0.0558
"Ef_cluster_5" "MF" "GO:0032559" "adenyl ribonucleotide binding" 468 86 68.81 0.00906 0.0558
"Ef_cluster_5" "MF" "GO:0001882" "nucleoside binding" 550 99 80.87 0.00922 0.0558
"Ef_cluster_5" "MF" "GO:0001883" "purine nucleoside binding" 550 99 80.87 0.00922 0.0558
"Ef_cluster_5" "MF" "GO:0032549" "ribonucleoside binding" 550 99 80.87 0.00922 0.0558
"Ef_cluster_5" "MF" "GO:0032550" "purine ribonucleoside binding" 550 99 80.87 0.00922 0.0558
"Ef_cluster_5" "MF" "GO:0032555" "purine ribonucleotide binding" 550 99 80.87 0.00922 0.0558
"Ef_cluster_5" "MF" "GO:0035639" "purine ribonucleoside triphosphate bindi..." 550 99 80.87 0.00922 0.0558
"Ef_cluster_5" "MF" "GO:0030554" "adenyl nucleotide binding" 469 86 68.96 0.00961 0.0558
"Ef_cluster_5" "MF" "GO:0017076" "purine nucleotide binding" 551 99 81.02 0.00975 0.0558
"Ef_cluster_5" "MF" "GO:0003677" "DNA binding" 157 34 23.08 0.00999 0.0558
"gene_group" "Ontology" "GO.ID" "Term" "Annotated" "Significant" "Expected" "p.value" "adj.p"
"Ef_cluster_5" "BP" "GO:0006281" "DNA repair" 39 15 5.94 0.00029 0.0097
"Ef_cluster_5" "BP" "GO:0006974" "cellular response to DNA damage stimulus" 39 15 5.94 0.00029 0.0097
"Ef_cluster_5" "BP" "GO:0033554" "cellular response to stress" 39 15 5.94 0.00029 0.0097
"Ef_cluster_5" "BP" "GO:0051716" "cellular response to stimulus" 97 27 14.76 0.00072 0.018
"Ef_cluster_5" "BP" "GO:0006259" "DNA metabolic process" 90 25 13.7 0.00119 0.0238
"Ef_cluster_5" "BP" "GO:0050896" "response to stimulus" 121 30 18.42 0.00287 0.0436
"Ef_cluster_5" "BP" "GO:0006950" "response to stress" 62 18 9.44 0.00347 0.0436
"Ef_cluster_5" "BP" "GO:0030154" "cell differentiation" 3 3 0.46 0.00349 0.0436
"Ef_cluster_5" "BP" "GO:0006468" "protein phosphorylation" 133 31 20.24 0.00675 0.075
"Ef_cluster_5" "BP" "GO:0006464" "cellular protein modification process" 202 43 30.75 0.00866 0.0787
"Ef_cluster_5" "BP" "GO:0036211" "protein modification process" 202 43 30.75 0.00866 0.0787
"gene_group" "Ontology" "GO.ID" "Term" "Annotated" "Significant" "Expected" "p.value" "adj.p"
"Ef_cluster_7" "MF" "GO:0005198" "structural molecule activity" 124 58 16.59 1.1e-20 0
"Ef_cluster_7" "MF" "GO:0003735" "structural constituent of ribosome" 103 52 13.78 1.7e-20 0
"Ef_cluster_7" "MF" "GO:0031177" "phosphopantetheine binding" 4 4 0.54 0.00032 0.008
"Ef_cluster_7" "MF" "GO:0072341" "modified amino acid binding" 4 4 0.54 0.00032 0.008
"Ef_cluster_7" "MF" "GO:0016491" "oxidoreductase activity" 143 33 19.13 0.00078 0.0156
"Ef_cluster_7" "MF" "GO:0033218" "amide binding" 8 5 1.07 0.00165 0.0227
"Ef_cluster_7" "MF" "GO:0016746" "transferase activity, transferring acyl ..." 46 14 6.15 0.00189 0.0227
"Ef_cluster_7" "MF" "GO:0016875" "ligase activity, forming carbon-oxygen b..." 42 13 5.62 0.0023 0.0227
"Ef_cluster_7" "MF" "GO:0016876" "ligase activity, forming aminoacyl-tRNA ..." 42 13 5.62 0.0023 0.0227
"Ef_cluster_7" "MF" "GO:0004298" "threonine-type endopeptidase activity" 12 6 1.61 0.0025 0.0227
"Ef_cluster_7" "MF" "GO:0070003" "threonine-type peptidase activity" 12 6 1.61 0.0025 0.0227
