"gene_group" "Ontology" "GO.ID" "Term" "Annotated" "Significant" "Expected" "p.value" "adj.p"
"Mm_cluster_6" "MF" "GO:0003723" "RNA binding" 1384 70 29.49 1.8e-12 0
"Mm_cluster_6" "MF" "GO:0044822" "poly(A) RNA binding" 1064 57 22.67 4e-11 0
"Mm_cluster_6" "MF" "GO:0003676" "nucleic acid binding" 2634 100 56.12 2.6e-10 0
"Mm_cluster_6" "MF" "GO:1901363" "heterocyclic compound binding" 3961 116 84.4 2.1e-05 5e-04
"Mm_cluster_6" "MF" "GO:0097159" "organic cyclic compound binding" 3996 116 85.14 3.3e-05 7e-04
"Mm_cluster_6" "MF" "GO:0034061" "DNA polymerase activity" 38 6 0.81 0.00014 0.0023
"Mm_cluster_6" "MF" "GO:0003887" "DNA-directed DNA polymerase activity" 25 5 0.53 0.00016 0.0023
"Mm_cluster_6" "MF" "GO:0008135" "translation factor activity, RNA binding" 76 8 1.62 0.00021 0.0026
"Mm_cluster_6" "MF" "GO:0031369" "translation initiation factor binding" 30 5 0.64 0.00039 0.0043
"Mm_cluster_6" "MF" "GO:0003743" "translation initiation factor activity" 47 6 1 0.00046 0.0045
"Mm_cluster_6" "MF" "GO:0003735" "structural constituent of ribosome" 181 12 3.86 5e-04 0.0045
"Mm_cluster_6" "MF" "GO:0004526" "ribonuclease P activity" 11 3 0.23 0.00139 0.0116
"Mm_cluster_6" "MF" "GO:0004521" "endoribonuclease activity" 40 5 0.85 0.00151 0.0116
"Mm_cluster_6" "MF" "GO:1990715" "mRNA CDS binding" 4 2 0.09 0.00264 0.0189
"Mm_cluster_6" "MF" "GO:0008173" "RNA methyltransferase activity" 89 7 1.9 0.00286 0.0191
"Mm_cluster_6" "MF" "GO:0016891" "endoribonuclease activity, producing 5'-..." 29 4 0.62 0.00314 0.0196
"Mm_cluster_6" "MF" "GO:0004549" "tRNA-specific ribonuclease activity" 15 3 0.32 0.0036 0.0212
"Mm_cluster_6" "MF" "GO:0017069" "snRNA binding" 31 4 0.66 0.00403 0.0224
"Mm_cluster_6" "MF" "GO:0016741" "transferase activity, transferring one-c..." 176 10 3.75 0.00445 0.0234
"Mm_cluster_6" "MF" "GO:0043021" "ribonucleoprotein complex binding" 99 7 2.11 0.00518 0.0256
"Mm_cluster_6" "MF" "GO:0005198" "structural molecule activity" 367 16 7.82 0.00538 0.0256
"Mm_cluster_6" "MF" "GO:0008175" "tRNA methyltransferase activity" 83 6 1.77 0.00848 0.0351
"Mm_cluster_6" "MF" "GO:0000182" "rDNA binding" 7 2 0.15 0.00885 0.0351
"Mm_cluster_6" "MF" "GO:0017070" "U6 snRNA binding" 7 2 0.15 0.00885 0.0351
"Mm_cluster_6" "MF" "GO:0016893" "endonuclease activity, active with eithe..." 39 4 0.83 0.00922 0.0351
"Mm_cluster_6" "MF" "GO:0016779" "nucleotidyltransferase activity" 111 7 2.37 0.00954 0.0351
"Mm_cluster_6" "MF" "GO:0008168" "methyltransferase activity" 168 9 3.58 0.00987 0.0351
